music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,image_report.started,key_resp_rating.started,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.03272999999995818,12.42432819999999,,,,,,,,,,,,,,,,,,,,,,,,,,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
,,,,,,,,,12.424348699999996,12.427947399999994,24.460223100000007,24.41394650000001,,,,,,,,,,,,,,,,,,,,,,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
audio/music_sample_n_002.wav,0,0,0,1,24.460223100000007,,,,,,,,24.41770009999999,24.460223100000007,36.43139819999999,36.464608699999985,48.431741699999975,48.43119726666664,48.431741699999975,60.43534579999999,60.43534579999999,60.431624466666634,60.43534579999999,72.5959919,72.5959919,72.5959919,72.64847530000003,78.4692382,78.66261719999994,78.66261719999994,84.43311249999994,None,3,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
audio/music_sample_n_004.wav,0,1,1,2,84.46549799999997,,,,,,,,84.43344159999998,84.46549799999997,96.43321769999994,96.4665511,108.43365850000004,108.43365206666665,108.43365850000004,120.43516129999995,120.43516129999995,120.43418606666667,120.43516129999995,132.48179209999995,132.48179209999995,132.48179209999995,132.48179209999995,138.46214049999998,138.55540919999993,138.55540919999993,144.43510739999994,None,2,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
audio/music_sample_n_003.wav,0,2,2,0,144.46670549999993,,,,,,,,144.43567460000003,144.46670549999993,156.4354149,156.4687035,168.43793039999997,168.43799986666667,168.43793039999997,180.45509520000002,180.45509520000002,180.43625476666668,180.4360529,192.4964508,192.4964508,192.4964508,192.4964508,198.47030239999998,198.56376570000003,198.56376570000003,204.43720049999996,None,2,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
audio/music_sample_n_001.wav,0,3,3,4,204.47999529999998,,,,,,,,204.437663,204.47999529999998,216.43759789999996,216.48761480000002,228.43802399999998,228.43805726666662,228.43802399999998,240.44429829999996,240.44429829999996,240.43850516666666,240.44429829999996,252.49222989999993,252.49222989999993,252.49222989999993,252.54338339999998,258.45978269999995,258.5543631,258.5543631,264.4394226,None,3,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
audio/music_sample_p_003.wav,0,4,4,6,264.4844767,,,,,,,,264.4399464,264.4844767,276.4229872,276.4896223,288.42558990000003,288.4422565666667,288.43983109999994,300.4623177,300.4403819,300.4237396666667,300.42371829999996,312.4747037,312.4747037,312.4747037,312.4747037,318.46506529999994,318.5084158,318.5084158,324.4249653,None,4,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
audio/music_sample_p_002.wav,0,5,5,5,324.47129079999996,,,,,,,,324.4256142,324.47129079999996,336.4251245,336.47509329999997,348.425497,348.4255184666667,348.425497,360.4341699,360.4341699,360.42598376666666,360.4341699,372.4844709999999,372.4844709999999,372.4844709999999,372.5328312,378.4803884,378.5242997,378.5242997,384.4267981,None,4,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
audio/music_sample_p_001.wav,0,6,6,3,384.46751349999994,,,,,,,,384.4272918,384.46751349999994,396.4273317,396.47708240000003,408.4274324,408.42745326666665,408.4274324,420.4341308,420.4341308,420.43367586666665,420.4341308,432.5068366,432.46232549999996,432.46232549999996,432.5068366,438.47411189999997,438.51663249999996,438.51663249999996,444.42903729999995,None,4,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
audio/music_sample_p_004.wav,0,7,7,7,444.4728686,,,,,,,,444.4295543,444.4728686,456.4295245,456.4792376,468.42974039999996,468.4297735666666,468.42974039999996,480.43268040000004,480.43268040000004,480.4301943666666,480.43268040000004,492.4881611,492.4881611,492.4881611,492.5335081,498.49454,498.53660229999997,498.53660229999997,504.4312504,None,4,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
,,,,,,,,,504.4315406,504.44771099999997,,516.4316452,,,,,,,,,,,,,,,,,,,,,,loc333,001,True,True,2024-10-24_14h11.02.234,localizer,2024.1.5,None,2024-10-24 14h11.16.629061 +0100,
