music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,text_noise.stopped,sound_music.started,text_music.started,sound_noise.stopped,sound_music.stopped,text_music.stopped,image_report.started,key_resp_rating.started,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.040218800015281886,20.03398860001471,,,,,,,,,,,,,,,,,,,,,,,,,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
,,,,,,,,,20.034008400019957,20.041469599993434,32.043625099991914,,,,,,,,,,,,,,,,,,,,,,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
audio/music_sample_n_002.wav,0,0,0,1,32.086260900017805,,,,,,,32.054912499996135,32.086260900017805,44.03849999999511,44.088501199992606,56.03888680000091,56.043749266686305,56.03888680000091,68.04484800001956,68.03949906668664,68.04484800001956,68.06631799999741,80.21305220000795,80.21305220000795,80.21305220000795,80.21305220000795,86.1246778999921,86.28589600001578,86.28589600001578,92.04513690000749,None,3,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
audio/music_sample_n_001.wav,0,1,1,4,92.07174620000296,,,,,,,92.04545229999349,92.07174620000296,104.0406101999979,104.07400590000907,116.04106829999364,116.04105556666424,116.04106829999364,128.045111000014,128.04150736667023,128.045111000014,128.045111000014,140.09960670000874,140.1562257000187,140.09960670000874,140.09960670000874,146.1274260999926,146.17913000000408,146.17913000000408,152.0426078000164,None,3,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
audio/music_sample_p_004.wav,0,2,2,7,152.06966510001803,,,,,,,152.0429027999926,152.06966510001803,164.0429323000135,164.07624700001907,176.04330449999543,176.0432838666641,176.04330449999543,188.04576100001577,188.04395636666257,188.04576100001577,188.04576100001577,200.09660990000702,200.15292660001433,200.09660990000702,200.09660990000702,206.11279340001056,206.16245130001334,206.16245130001334,212.04473540000618,None,4,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
audio/music_sample_n_003.wav,0,3,3,0,212.6926525000017,,,,,,,212.0451224000135,212.6926525000017,224.05039580000448,224.69511440000497,236.06239579999237,236.04574936666566,236.04575049999403,248.04727360000834,248.04617906667798,248.04727360000834,248.04727360000834,260.1011987999955,260.1011987999955,260.1011987999955,260.1011987999955,266.0850578999962,266.1344792000018,266.1344792000018,272.052528500004,None,3,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
audio/music_sample_n_004.wav,0,4,4,2,272.0993931000121,,,,,,,272.05311300000176,272.0993931000121,284.0307471000124,284.0973300000187,296.0313337999978,296.04800046666446,296.04795140001806,308.05589770001825,308.0483555666617,308.05589770001825,308.05589770001825,320.1056349000137,320.1568736000045,320.1056349000137,320.1056349000137,326.1046641000139,326.15326570000616,326.15326570000616,332.0493039000139,None,2,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
audio/music_sample_p_002.wav,0,5,5,5,332.0865509000141,,,,,,,332.0495701000036,332.0865509000141,344.03834359999746,344.09967729999335,356.03864370001247,356.0385081666793,356.03864370001247,368.04475150001235,368.0391881666767,368.04475150001235,368.04475150001235,380.1392186000012,380.1392186000012,380.07083270000294,380.07083270000294,386.09127639999497,386.13964870001655,386.13964870001655,392.0404793000198,None,4,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
audio/music_sample_p_003.wav,0,6,6,6,392.0758052000019,,,,,,,392.040717099997,392.0758052000019,404.0356193000043,404.0852972000139,416.0368100000196,416.03576326667485,416.0368100000196,428.03615329999593,428.0361696666844,428.03615329999593,428.03615329999593,440.09218999999575,440.09218999999575,440.09218999999575,440.09218999999575,446.0740033000184,446.17545000000973,446.17545000000973,452.0370582000178,None,4,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
audio/music_sample_p_001.wav,0,7,7,3,452.35892830000375,,,,,,,452.03736509999726,452.35892830000375,464.03745910001453,464.35420910001267,476.038016800012,476.0441328666677,476.038016800012,488.04459500001394,488.03837716667135,488.04459500001394,488.0674794999941,500.0883799000003,500.0883799000003,500.0883799000003,500.0883799000003,506.09837560000597,506.1451794000168,506.1451794000168,512.0450415000087,None,4,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
,,,,,,,,,512.0451708000037,512.0614306000061,524.0402350999939,,,,,,,,,,,,,,,,,,,,,,loc146,001,True,True,2024-09-16_13h58.18.145,localizer,2024.1.5,None,2024-09-16 13h58.33.997451 +0100,
