music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,sound_noise.started,text_noise.started,text_mi.stopped,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,text_music.stopped,image_report.started,key_resp_rating.started,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.043436599999949976,22.544496699999854,,,,,,,,,,,,,,,,,,,,,,,,,,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
,,,,,,,,,22.544515300000057,22.551173899999867,34.637118299999656,34.538107599999876,,,,,,,,,,,,,,,,,,,,,,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
audio/music_sample_p_004.wav,0,0,0,7,34.637118299999656,,,,,,,,34.57861079999975,34.637118299999656,46.554100500000004,46.637450100000024,58.549787166666434,58.54983599999969,58.566491699999915,70.55509129999973,70.55509129999973,70.5502346666665,70.55509129999973,82.7241285,82.7241285,82.7241285,82.7241285,88.59904879999976,88.75660990000006,88.75660990000006,94.55592919999981,None,1,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
audio/music_sample_p_001.wav,0,1,1,3,94.59044749999975,,,,,,,,94.55767049999986,94.59044749999975,106.55155409999998,106.60156179999967,118.55193996666664,118.55199249999987,118.55199249999987,130.56495700000005,130.56495700000005,130.5572256666667,130.56495700000005,142.6122252,142.66554319999977,142.6122252,142.6122252,148.63428909999993,148.68466529999978,148.68466529999978,154.5581490999998,None,2,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
audio/music_sample_p_002.wav,0,2,2,5,154.59591189999992,,,,,,,,154.5584088999999,154.59591189999992,166.55856929999982,166.60373589999972,178.5542437666666,178.55430109999998,178.57095359999994,190.56430969999974,190.56430969999974,190.55939836666656,190.56430969999974,202.69129320000002,202.69129320000002,202.60400260000006,202.60400260000006,208.6259802999998,208.67662389999987,208.67662389999987,214.55548409999983,None,3,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
audio/music_sample_n_001.wav,0,3,3,4,214.59482439999965,,,,,,,,214.55573099999992,214.59482439999965,226.5441004999998,226.59407889999966,238.5445646666665,238.54457479999974,238.54457479999974,250.5647067,250.5647067,250.56163356666664,250.5647067,262.6517684999999,262.6517684999999,262.5840524,262.5840524,268.58174529999997,268.6364129999997,268.6364129999997,274.56322589999945,None,2,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
audio/music_sample_n_002.wav,0,4,4,1,274.60910309999963,,,,,,,,274.5637735999999,274.60910309999963,286.5416005999996,286.6081901999996,298.5587305666661,298.55872420000014,298.54206389999945,310.56650569999965,310.56650569999965,310.55914896666695,310.56650569999965,322.65049589999944,322.65049589999944,322.5817366000001,322.5817366000001,328.60262650000004,328.65197480000006,328.65197480000006,334.54814869999973,None,2,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
audio/music_sample_n_004.wav,0,5,5,2,334.5828849999998,,,,,,,,334.5484064000002,334.5828849999998,346.5485526000002,346.5818827000003,358.54929966666646,358.5492296000002,358.5492296000002,370.5546125999999,370.5546125999999,370.5501060666668,370.5546125999999,382.60339209999984,382.65607829999954,382.60339209999984,382.60339209999984,388.62832530000014,388.6783349999996,388.6783349999996,394.5510508999996,None,3,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
audio/music_sample_n_003.wav,0,6,6,0,394.58991700000024,,,,,,,,394.55128869999953,394.58991700000024,406.54606929999954,406.5960379999997,418.55194076666635,418.5519205999999,418.5519205999999,430.56699969999954,430.56699969999954,430.5469412666664,430.54694909999944,442.6081220999995,442.6081220999995,442.6081220999995,442.6081220999995,448.58027760000004,448.68043769999986,448.68043769999986,454.55339509999976,None,1,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
audio/music_sample_p_003.wav,0,7,7,6,454.5877682,,,,,,,,454.5536283000001,454.5877682,466.5481270999999,466.58714379999947,478.55415536666646,478.55419209999945,478.55419209999945,490.57135180000023,490.57135180000023,490.54918846666646,490.5491767000003,502.60624629999984,502.60624629999984,502.60624629999984,502.60624629999984,508.62079429999994,508.6716074999995,508.6716074999995,514.5556218000002,None,2,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
,,,,,,,,,514.5557541999997,514.5721684999999,,526.5505935000001,,,,,,,,,,,,,,,,,,,,,,loc002,001,True,True,2024-09-11_14h23.14.285,localizer,2024.1.5,None,2024-09-11 14h24.23.256124 +0100,
