music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,sound_noise.started,text_noise.started,text_mi.stopped,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,image_report.started,key_resp_rating.started,sound_music.stopped,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04115690000071481,21.524560300000303,,,,,,,,,,,,,,,,,,,,,,,,,,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
,,,,,,,,,21.52458050000041,21.530875200000082,33.55924920000052,33.52075100000002,,,,,,,,,,,,,,,,,,,,,,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
audio/music_sample_n_001.wav,0,0,0,4,33.55924920000052,,,,,,,,33.52826499999992,33.55924920000052,45.5373325999999,45.57066430000032,57.526569566666936,57.52655510000022,57.53760599999987,69.54504260000067,69.54504260000067,69.5381296666667,69.54504260000067,81.66993840000032,81.66993840000032,81.72494619999998,81.72494619999998,87.6005810000006,87.71442090000073,87.71442090000073,93.52782260000004,None,2,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
audio/music_sample_n_003.wav,0,1,1,0,93.54953810000006,,,,,,,,93.5281302000003,93.54953810000006,105.52265010000065,105.5616254000006,117.53994576666652,117.53992400000061,117.52327909999985,129.5442894000007,129.5442894000007,129.5236666666672,129.52366410000013,141.58069090000026,141.58069090000026,141.58069090000026,141.58069090000026,147.60257910000018,147.6532229000004,147.6532229000004,153.54133700000057,None,3,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
audio/music_sample_p_002.wav,0,2,2,5,153.57200620000003,,,,,,,,153.5418391000003,153.57200620000003,165.52498340000056,165.57492920000004,177.53080616666674,177.5310597000007,177.5310597000007,189.5530262000002,189.5530262000002,189.52572276666731,189.53071200000068,201.58883700000024,201.58883700000024,201.58883700000024,201.63917960000072,207.55680500000017,207.65542790000018,207.65542790000018,213.5321115000006,None,4,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
audio/music_sample_n_004.wav,0,3,3,2,213.56327690000035,,,,,,,,213.53269799999998,213.56327690000035,225.52708110000003,225.57708960000036,237.53218616666734,237.53218629999992,237.53218629999992,249.5329913000005,249.5329913000005,249.5325645666674,249.5329913000005,261.58110880000004,261.58110880000004,261.63496120000036,261.63496120000036,267.56376290000026,267.61576440000044,267.61576440000044,273.5338360000005,None,2,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
audio/music_sample_p_001.wav,0,4,4,3,273.5655290000004,,,,,,,,273.5342922,273.5655290000004,285.53420710000046,285.56243390000054,297.5295924666673,297.5295706000006,297.5462591000005,309.53402559999995,309.53402559999995,309.5300758666665,309.53402559999995,321.5854532000003,321.5854532000003,321.5854532000003,321.63549560000047,327.57307000000037,327.62345090000053,327.62345090000053,333.53564689999985,None,5,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
audio/music_sample_p_003.wav,0,5,5,6,333.5595106999999,,,,,,,,333.5358917000003,333.5595106999999,345.53129290000015,345.5646268999999,357.53177936666657,357.53177310000046,357.53177310000046,369.5349681000007,369.5349681000007,369.53208196666696,369.5349681000007,381.5855674000004,381.5855674000004,381.5855674000004,381.63722270000017,387.58979890000046,387.6387205000001,387.6387205000001,393.53326800000013,None,4,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
audio/music_sample_p_004.wav,0,6,6,7,393.5687618000002,,,,,,,,393.5337683000007,393.5687618000002,405.53347029999986,405.58360989999983,417.5337625666673,417.53379060000043,417.53379060000043,429.53431830000045,429.53431830000045,429.5343109666667,429.53431830000045,441.5884650000007,441.5884650000007,441.5884650000007,441.5884650000007,447.61460910000005,447.6659339000007,447.6659339000007,453.5354689000005,None,2,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
audio/music_sample_n_002.wav,0,7,7,1,453.5678691000003,,,,,,,,453.53597360000003,453.5678691000003,465.5355782000006,465.5689372000006,477.5359930666666,477.53598300000067,477.53598300000067,489.54466709999997,489.54466709999997,489.5363124666667,489.54466709999997,501.56101170000056,501.56101170000056,501.6289440999999,501.6289440999999,507.57655800000066,507.6249891000007,507.6249891000007,513.5259120000001,None,1,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
,,,,,,,,,513.5261519000005,513.537276,525.53773,525.5215451000004,,,,,,,,,,,,,,,,,,,,,,loc128,001,True,True,2024-10-24_15h29.13.724,localizer,2024.1.5,None,2024-10-24 15h30.27.149455 +0100,
