music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,image_report.started,key_resp_rating.started,sound_music.stopped,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04264890000013111,13.817678199999136,,,,,,,,,,,,,,,,,,,,,,,,,,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
,,,,,,,,,13.81769919999897,13.824529899999106,25.84773419999874,25.807488299999022,,,,,,,,,,,,,,,,,,,,,,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
audio/music_sample_n_001.wav,0,0,0,4,25.84773419999874,,,,,,,,25.81519169999956,25.84773419999874,37.824086599999646,37.857383599999594,49.829127199998766,49.82923106666591,49.829127199998766,61.83085319999918,61.83085319999918,61.82983486666514,61.83085319999918,73.98062489999938,73.98062489999938,74.0384568999998,74.0384568999998,79.89403289999973,80.05753009999898,80.05753009999898,85.82591969999885,None,2,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
audio/music_sample_n_004.wav,0,1,1,2,85.85780189999969,,,,,,,,85.82652129999951,85.85780189999969,97.82616529999905,97.85949749999963,109.82657769999969,109.82659546666606,109.82657769999969,121.83113400000002,121.83113400000002,121.8271450666655,121.83113400000002,133.88636640000004,133.88636640000004,133.88636640000004,133.9458582999996,139.90327029999935,139.95907429999897,139.95907429999897,145.83312179999848,None,4,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
audio/music_sample_n_003.wav,0,2,2,0,145.8664605999984,,,,,,,,145.8336535999988,145.8664605999984,157.82826199999909,157.87825499999963,169.82871999999952,169.82881616666626,169.82871999999952,181.83140249999997,181.83140249999997,181.82910126666528,181.83140249999997,193.85347980000006,193.85347980000006,193.9185841999988,193.9185841999988,199.89242359999844,199.94450289999986,199.94450289999986,205.81849629999851,None,4,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
audio/music_sample_p_003.wav,0,3,3,6,205.8488340999993,,,,,,,,205.818985599999,205.8488340999993,217.8136728999998,217.8636725999986,229.81407799999943,229.8307446666661,229.83075629999985,241.8407532000001,241.8407532000001,241.83120566666574,241.8407532000001,253.90313309999874,253.90313309999874,253.90313309999874,253.95911419999902,259.9024043999998,259.9552273999998,259.9552273999998,265.8322064999993,None,5,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
audio/music_sample_n_002.wav,0,4,4,1,265.86698719999913,,,,,,,,265.83266249999906,265.86698719999913,277.81577429999925,277.88244589999886,289.8209231000001,289.8375897666667,289.83278280000013,301.85205659999883,301.8332286999994,301.83325016666663,301.8332286999994,313.85770389999925,313.85770389999925,313.92894329999945,313.92894329999945,319.9057617999988,319.9057617999988,319.9057617999988,325.82259410000006,None,4,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
audio/music_sample_p_004.wav,0,5,5,7,325.84508259999893,,,,,,,,325.8228444999986,325.84508259999893,337.8232090999991,337.85659769999984,349.8237208999999,349.8238916666653,349.8237208999999,361.82944119999956,361.82944119999956,361.82421096666644,361.82944119999956,373.86569379999855,373.86569379999855,373.92326989999856,373.92326989999856,379.87856889999966,379.93856849999975,379.93856849999975,385.82503599999836,None,5,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
audio/music_sample_p_001.wav,0,6,6,3,385.84770260000005,,,,,,,,385.8252902999993,385.84770260000005,397.82542060000014,397.85871769999903,409.8370113000001,409.8203576666658,409.8203733999999,421.8207164999985,421.8207164999985,421.8208095666653,421.8207164999985,433.8754011000001,433.8754011000001,433.8754011000001,433.8754011000001,439.8871698999992,439.9369286000001,439.9369286000001,445.82755199999883,None,2,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
audio/music_sample_p_002.wav,0,7,7,5,445.85462430000007,,,,,,,,445.82794569999896,445.85462430000007,457.82767969999986,457.8607542999998,469.8279279999988,469.8279510666655,469.8279279999988,481.84119649999957,481.84119649999957,481.82291416666544,481.8229142,493.87573769999835,493.87573769999835,493.87573769999835,493.87573769999835,499.88927409999997,499.93941559999985,499.93941559999985,505.82928079999874,None,4,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
,,,,,,,,,505.82941690000007,505.84575929999846,,517.8242328999986,,,,,,,,,,,,,,,,,,,,,,loc124,001,True,True,2024-10-03_15h23.42.514,localizer,2024.1.5,None,2024-10-03 15h23.55.949457 +0100,
