music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,image_report.started,key_resp_rating.started,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04038919999948121,14.68850139999995,,,,,,,,,,,,,,,,,,,,,,,,,,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
,,,,,,,,,14.68852060000063,14.691638799999055,26.712128800001665,26.68802710000091,,,,,,,,,,,,,,,,,,,,,,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
audio/music_sample_p_001.wav,0,0,0,3,26.712128800001665,,,,,,,,26.69163850000041,26.712128800001665,38.687624800000776,38.721522100000584,50.68860340000174,50.6880127666666,50.68860340000174,62.69661210000049,62.69661210000049,62.689051166668165,62.69661210000049,74.86204290000023,74.86204290000023,74.86204290000023,74.91341969999849,80.7450099000016,80.89574269999866,80.89574269999866,86.68999690000055,None,2,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
audio/music_sample_n_003.wav,0,1,1,0,86.71067089999997,,,,,,,,86.69031449999966,86.71067089999997,98.69012930000099,98.72345969999878,110.69062649999978,110.69059466666683,110.69062649999978,122.69686379999985,122.69686379999985,122.69097246666594,122.69686379999985,134.75107170000047,134.75107170000047,134.75107170000047,134.80145959999936,140.75258789999862,140.80389659999855,140.80389659999855,146.69206109999868,None,1,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
audio/music_sample_n_002.wav,0,2,2,1,146.72493229999964,,,,,,,,146.692631599999,146.72493229999964,158.69240790000185,158.72570990000168,170.69267069999842,170.69264966666768,170.69267069999842,182.6959569999999,182.6959569999999,182.69311576666612,182.6959569999999,194.7488775999991,194.7488775999991,194.7488775999991,194.79827600000135,200.74675639999987,200.79595269999845,200.79595269999845,206.6941810999997,None,2,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
audio/music_sample_p_002.wav,0,3,3,5,206.72650599999906,,,,,,,,206.69473920000019,206.72650599999906,218.69448339999872,218.72786059999999,230.69947730000058,230.69949476666832,230.69947730000058,242.71603609999875,242.71603609999875,242.69520156666866,242.69526530000076,254.7395977999986,254.7395977999986,254.7395977999986,254.7395977999986,260.7659418000003,260.8161755000001,260.8161755000001,266.69611169999916,None,4,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
audio/music_sample_p_004.wav,0,4,4,7,266.7242557999998,,,,,,,,266.69653299999845,266.7242557999998,278.6966339999999,278.7299036000004,290.69712029999937,290.6971336666686,290.69712029999937,302.69710190000114,302.69710190000114,302.69734276666736,302.69710190000114,314.7500789000005,314.7500789000005,314.7500789000005,314.7500789000005,320.7307058000006,320.8319087999989,320.8319087999989,326.6986505999994,None,2,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
audio/music_sample_p_003.wav,0,5,5,6,326.73265639999954,,,,,,,,326.69944210000176,326.73265639999954,338.69884770000135,338.73411000000124,350.69902640000146,350.6990544666662,350.69902640000146,362.70596149999983,362.70596149999983,362.6994702666673,362.70596149999983,374.7615103999997,374.7615103999997,374.7615103999997,374.8120233000009,380.75032940000165,380.80130180000197,380.80130180000197,386.7007440000016,None,2,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
audio/music_sample_n_004.wav,0,6,6,2,386.72430090000125,,,,,,,,386.70138640000005,386.72430090000125,398.7008563999989,398.73418559999845,410.70120300000053,410.7011882666668,410.70120300000053,422.70491870000114,422.70491870000114,422.7014373666682,422.70491870000114,434.7581515999991,434.7581515999991,434.7581515999991,434.8057493999986,440.7267037999991,440.8212930000009,440.8212930000009,446.70247949999975,None,1,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
audio/music_sample_n_001.wav,0,7,7,4,446.73294259999966,,,,,,,,446.7029944999995,446.73294259999966,458.7028037000018,458.7358634000011,470.70323740000094,470.7032222666678,470.70323740000094,482.7053210000013,482.7053210000013,482.7036248666666,482.7053210000013,494.75796289999926,494.75796289999926,494.75796289999926,494.8077505000001,500.7280505000017,500.82266359999994,500.82266359999994,506.7045982999989,None,4,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
,,,,,,,,,506.70484510000097,506.72114280000096,,518.7050831000015,,,,,,,,,,,,,,,,,,,,,,loc127,002,True,True,2024-09-23_16h35.02.922,localizer,2024.1.5,None,2024-09-23 16h35.14.622361 +0100,
