music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,sound_noise.started,text_noise.started,text_mi.stopped,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,image_report.started,key_resp_rating.started,sound_music.stopped,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.0451811000239104,9.524008999986108,,,,,,,,,,,,,,,,,,,,,,,,,,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
,,,,,,,,,9.524027600011323,9.529933099984191,21.545759800006635,21.517008700000588,,,,,,,,,,,,,,,,,,,,,,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
audio/music_sample_p_001.wav,0,0,0,3,21.545759800006635,,,,,,,,21.521147300023586,21.545759800006635,33.53862519998802,33.55525330000091,45.534320066686874,45.534327600034885,45.550997200014535,57.54618260002462,57.54618260002462,57.53951196669756,57.54618260002462,69.69406860001618,69.69406860001618,69.74659190000966,69.74659190000966,75.59449370001676,75.74382390000392,75.74382390000392,81.53573800000595,None,5,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
audio/music_sample_n_001.wav,0,1,1,4,81.56374399998458,,,,,,,,81.53622559999349,81.56374399998458,93.5411600000225,93.57416459999513,105.5246252666732,105.52461940003559,105.5412966000149,117.53700290003326,117.53700290003326,117.53703086666452,117.53700290003326,129.55992520001018,129.55992520001018,129.61939170002006,129.61939170002006,135.6098425000091,135.6098425000091,135.6098425000091,141.54344000003766,None,1,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
audio/music_sample_n_003.wav,0,2,2,0,141.57513290003408,,,,,,,,141.54406330001075,141.57513290003408,153.52639920002548,153.59305179998046,165.5388032666563,165.53879259998212,165.53879259998212,177.54605140001513,177.54605140001513,177.52770536666893,177.52253700001165,189.6030123999808,189.6030123999808,189.6030123999808,189.52300950000063,195.56211050000275,195.6659207000048,195.6659207000048,201.52822660002857,None,2,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
audio/music_sample_n_002.wav,0,3,3,1,201.55001110001467,,,,,,,,201.52847150003072,201.55001110001467,213.52403400000185,213.5622924999916,225.52903056668973,225.5290712999995,225.5290712999995,237.54862680000952,237.54862680000952,237.525679366667,237.52566779998597,249.58076380001148,249.58076380001148,249.58076380001148,249.58076380001148,255.580268300022,255.6298436000361,255.6298436000361,261.5258462000056,None,1,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
audio/music_sample_p_002.wav,0,4,4,5,261.55725810001604,,,,,,,,261.5263381000259,261.55725810001604,273.53082660003565,273.56414750003023,285.5312776666872,285.531270699983,285.531270699983,297.54758740001125,297.54758740001125,297.5270039666832,297.52699949999806,309.58149399998365,309.58149399998365,309.58149399998365,309.58149399998365,315.6064035000163,315.6630920000025,315.6630920000025,321.5280520999804,None,4,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
audio/music_sample_p_003.wav,0,5,5,6,321.5580765000195,,,,,,,,321.5284990000073,321.5580765000195,333.5282560000196,333.56154700001935,345.5334928666746,345.53348290000577,345.53348290000577,357.5481376000098,357.5481376000098,357.5291495666645,357.5290865999996,369.5938763000304,369.5938763000304,369.5938763000304,369.5938763000304,375.5976291000261,375.64835219999077,375.64835219999077,381.534917699988,None,4,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
audio/music_sample_p_004.wav,0,6,6,7,381.55742860003375,,,,,,,,381.53517039999133,381.55742860003375,393.53529640001943,393.56862390000606,405.53596376668816,405.53598970000166,405.53598970000166,417.5357555000228,417.5357555000228,417.53653866670015,417.5357555000228,429.579649900028,429.579649900028,429.579649900028,429.579649900028,435.56198240001686,435.66935979999835,435.66935979999835,441.5323398000328,None,5,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
audio/music_sample_n_004.wav,0,7,7,2,441.5547951000044,,,,,,,,441.5325948999962,441.5547951000044,453.5327302000369,453.5661106000189,465.5386978666686,465.53867869998794,465.53867869998794,477.5459227000247,477.5459227000247,477.53917616670174,477.5459227000247,489.56706590001704,489.56706590001704,489.63235550001264,489.63235550001264,495.59149090002757,495.6428294000216,495.6428294000216,501.5401001999853,None,1,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
,,,,,,,,,501.5402231999906,501.55112830002327,,513.5405162000097,,,,,,,,,,,,,,,,,,,,,,loc132,002,True,True,2024-09-17_14h19.43.128,localizer,2024.1.5,None,2024-09-17 14h19.57.103091 +0100,
