music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,image_report.started,key_resp_rating.started,sound_music.stopped,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.042583700000250246,12.481243400000494,,,,,,,,,,,,,,,,,,,,,,,,,,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
,,,,,,,,,12.48126179999963,12.487638499999775,24.512249500000507,24.4789995000001,,,,,,,,,,,,,,,,,,,,,,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
audio/music_sample_p_001.wav,0,0,0,3,24.512249500000507,,,,,,,,24.484985199999755,24.512249500000507,36.49057929999981,36.52390420000029,48.49570270000004,48.49570926666662,48.49570270000004,60.501101500000004,60.501101500000004,60.496469866666544,60.501101500000004,72.64997289999974,72.64997289999974,72.71133929999996,72.71133929999996,78.56365790000018,78.72305899999992,78.72305899999992,84.49701670000013,None,4,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
audio/music_sample_n_003.wav,0,1,1,0,84.51988840000013,,,,,,,,84.4973603999997,84.51988840000013,96.47580519999974,96.53073700000004,108.4763554000001,108.49302206666677,108.49310249999962,120.5009611000005,120.5009611000005,120.49362546666659,120.5009611000005,132.55522780000047,132.55522780000047,132.55522780000047,132.60897260000002,138.52911109999968,138.63286309999967,138.63286309999967,144.48243249999996,None,3,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
audio/music_sample_p_003.wav,0,2,2,6,144.50479879999966,,,,,,,,144.48268980000012,144.50479879999966,156.49476270000014,156.51140209999994,168.49515299999985,168.49510056666648,168.49515299999985,180.50024349999967,180.50024349999967,180.48404016666635,180.4842004000002,192.5535848999998,192.5535848999998,192.5535848999998,192.5535848999998,198.53344709999965,198.63726550000047,198.63726550000047,204.50117789999967,None,4,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
audio/music_sample_n_001.wav,0,3,3,4,204.5264947000005,,,,,,,,204.50143800000023,204.5264947000005,216.4848880999998,216.53497880000032,228.4860152000001,228.48574556666634,228.4860152000001,240.5012783000002,240.5012783000002,240.48095516666697,240.48097359999974,252.53754320000007,252.53754320000007,252.53754320000007,252.53754320000007,258.56195579999985,258.6118242000002,258.6118242000002,264.4865798000001,None,3,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
audio/music_sample_n_004.wav,0,4,4,2,264.50931579999997,,,,,,,,264.48683450000044,264.50931579999997,276.48221190000004,276.51556940000046,288.4873287999999,288.4873830666668,288.4873287999999,300.4895115999998,300.4895115999998,300.48804116666656,300.4895115999998,312.53496879999966,312.53496879999966,312.53496879999966,312.53496879999966,318.54239469999993,318.59872220000034,318.59872220000034,324.4893622999998,None,3,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
audio/music_sample_p_004.wav,0,5,5,7,324.5118387000002,,,,,,,,324.4896067999998,324.5118387000002,336.48975960000007,336.52319420000003,348.50128760000007,348.4846720666667,348.49030779999975,360.4899193000001,360.4899193000001,360.49059796666666,360.4899193000001,372.5380887000001,372.5380887000001,372.5380887000001,372.5380887000001,378.55204760000015,378.6067856999998,378.6067856999998,384.4859741999999,None,3,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
audio/music_sample_p_002.wav,0,6,6,5,384.5107152999999,,,,,,,,384.48626239999976,384.5107152999999,396.4918663999997,396.5196278000003,408.48668350000025,408.49233216666676,408.48668350000025,420.49941949999993,420.49941949999993,420.4927114666664,420.49941949999993,432.5311760000004,432.5311760000004,432.5955727999999,432.5955727999999,438.52811910000037,438.57808790000036,438.57808790000036,444.4882514000001,None,4,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
audio/music_sample_n_002.wav,0,7,7,1,444.52029390000007,,,,,,,,444.4887254000005,444.52029390000007,456.49395730000015,456.52719479999996,468.49438530000043,468.4943710666669,468.49438530000043,480.4995036,480.4995036,480.4948198666664,480.4995036,492.54626129999997,492.54626129999997,492.54626129999997,492.5962317000003,498.54588779999995,498.59706350000033,498.59706350000033,504.49003040000025,None,3,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
,,,,,,,,,504.4901700999999,504.5067385000002,,516.4965033999997,,,,,,,,,,,,,,,,,,,,,,loc109,002,True,True,2024-10-03_13h22.45.073,localizer,2024.1.5,None,2024-10-03 13h22.55.798567 +0100,
