music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,sound_noise.started,text_noise.started,text_mi.stopped,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,text_music.stopped,image_report.started,key_resp_rating.started,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.042718300013802946,18.400748200016096,,,,,,,,,,,,,,,,,,,,,,,,,,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
,,,,,,,,,18.400768899999093,18.404228699975647,30.4143589999876,30.387695499986876,,,,,,,,,,,,,,,,,,,,,,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
audio/music_sample_p_003.wav,0,0,0,6,30.4143589999876,,,,,,,,30.391412500001024,30.4143589999876,42.40947120002238,42.42555759998504,54.404931366680344,54.404352199984714,54.4216256000218,66.40500139998039,66.40500139998039,66.40530366666304,66.40500139998039,78.59443940001074,78.59443940001074,78.59443940001074,78.59443940001074,84.46167089999653,84.64503840001998,84.64503840001998,90.40808090002974,None,4,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
audio/music_sample_p_004.wav,0,1,1,7,90.43000230001053,,,,,,,,90.40837499999907,90.43000230001053,102.40856780001195,102.43958579999162,114.40684066666678,114.40690519998316,114.42355850001331,126.41384609998204,126.41384609998204,126.40727196669128,126.41384609998204,138.45940009999322,138.51039479998872,138.45940009999322,138.45940009999322,144.46586009999737,144.514367100026,144.514367100026,150.40835839998908,None,2,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
audio/music_sample_n_002.wav,0,2,2,1,150.43177339999238,,,,,,,,150.40887620003195,150.43177339999238,162.40867129998514,162.44208320003236,174.40921226668095,174.40924690000247,174.40924690000247,186.4158322000294,186.4158322000294,186.40981246665277,186.4158322000294,198.47098869999172,198.5197473000153,198.47098869999172,198.47098869999172,204.44244429998798,204.53922829998191,204.53922829998191,210.41078660002677,None,1,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
audio/music_sample_p_002.wav,0,3,3,5,210.44537219998892,,,,,,,,210.41144180000992,210.44537219998892,222.41095140000107,222.460762600007,234.41149576666456,234.41145860002143,234.41145860002143,246.41466970002512,246.41466970002512,246.41183626669616,246.41466970002512,258.4685039999895,258.5179812000133,258.4685039999895,258.4685039999895,264.4621055999887,264.51049150002655,264.51049150002655,270.4128954000189,None,4,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
audio/music_sample_p_001.wav,0,4,4,3,270.44404640002176,,,,,,,,270.4134423999931,270.44404640002176,282.4131552000181,282.446470600029,294.4135482666936,294.4135403999826,294.4135403999826,306.4308387999772,306.4308387999772,306.4141596666925,306.4308387999772,318.4680196000263,318.515760099981,318.4680196000263,318.4680196000263,324.4706882000319,324.52345259999856,324.52345259999856,330.4152669000323,None,3,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
audio/music_sample_n_004.wav,0,5,5,2,330.4494053000235,,,,,,,,330.415847700031,330.4494053000235,342.4154175000149,342.44873970001936,354.41591066669594,354.41593429999193,354.41593429999193,366.42512680002255,366.42512680002255,366.416350366668,366.42512680002255,378.50407770002494,378.50407770002494,378.4397885000217,378.4397885000217,384.4674391000299,384.51221180002904,384.51221180002904,390.41722190001747,None,2,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
audio/music_sample_n_003.wav,0,6,6,0,390.44866860000184,,,,,,,,390.4178159000003,390.44866860000184,402.4005792000098,402.45086849998916,414.4014665666657,414.4014494000003,414.4014494000003,426.4041201000218,426.4041201000218,426.40172336664205,426.4041201000218,438.4451456000097,438.4910759999766,438.4451456000097,438.4451456000097,444.4706030000234,444.51454880001256,444.51454880001256,450.40282100002514,None,2,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
audio/music_sample_n_001.wav,0,7,7,4,450.4324861000059,,,,,,,,450.40338730002986,450.4324861000059,462.40305800002534,462.4364382000058,474.4035307666675,474.4035214000032,474.4035214000032,486.420675100002,486.420675100002,486.40399596665907,486.420675100002,498.4452996000182,498.4960288000293,498.4452996000182,498.4452996000182,504.46995420003077,504.51960749999853,504.51960749999853,510.40527059999295,None,2,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
,,,,,,,,,510.40561910002725,510.42156879999675,,522.4055854000035,,,,,,,,,,,,,,,,,,,,,,loc161,001,True,True,2024-09-16_15h12.47.510,localizer,2024.1.5,None,2024-09-16 15h13.04.065460 +0100,
