music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,image_report.started,key_resp_rating.started,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04361590003827587,13.894552900048438,,,,,,,,,,,,,,,,,,,,,,,,,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
,,,,,,,,,13.894573400029913,13.897831100039184,25.89580360002583,,,,,,,,,,,,,,,,,,,,,,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
audio/music_sample_p_002.wav,0,0,0,5,25.920311300025787,,,,,,,25.89939840004081,25.920311300025787,37.89618750003865,37.92964420001954,49.89665700000478,49.896748066709065,49.89665700000478,61.905452400038484,61.905452400038484,61.897114066702,61.905452400038484,74.07793100003619,74.07793100003619,74.07793100003619,74.12954130000435,79.97559530002763,80.12530110002263,80.12530110002263,85.89819800003897,None,4,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
audio/music_sample_p_004.wav,0,1,1,7,85.91931270004716,,,,,,,85.89850110001862,85.91931270004716,97.89860509999562,97.93173880001996,109.89895830000751,109.89892506669663,109.89895830000751,121.90333420003299,121.90333420003299,121.89882896666337,121.90333420003299,133.96039400005247,133.96039400005247,133.96039400005247,134.01068200002192,139.9865033000242,140.03945120004937,140.03945120004937,145.9003063000273,None,5,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
audio/music_sample_p_003.wav,0,2,2,6,145.92035200004466,,,,,,,145.90053830004763,145.92035200004466,157.90075730002718,157.93414060003124,169.90120210003806,169.90132916666724,169.90120210003806,181.90525980002712,181.90525980002712,181.90233456669765,181.90525980002712,193.9491308000288,193.9491308000288,193.9491308000288,193.99800330004655,199.93722390005132,199.98710260004736,199.98710260004736,205.90269620000618,None,5,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
audio/music_sample_n_001.wav,0,3,3,4,205.92254970001522,,,,,,,205.9029479000019,205.92254970001522,217.90307719999691,217.93639390001772,229.90351180004654,229.9034720666862,229.90351180004654,241.90512110001873,241.90512110001873,241.9033558666745,241.90512110001873,253.96022900001844,253.96022900001844,253.96022900001844,254.01004409999587,259.9665244000498,260.01522390003083,260.01522390003083,265.90495060000103,None,2,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
audio/music_sample_p_001.wav,0,4,4,3,265.92500680004014,,,,,,,265.9051856000442,265.92500680004014,277.90476500004297,277.9381466000341,289.9055121000274,289.9054987666934,289.9055121000274,301.9081493000267,301.9081493000267,301.9058317666679,301.9081493000267,313.9647948000347,313.9647948000347,313.9647948000347,313.9647948000347,319.9527788000414,320.002106000029,320.002106000029,325.9077948000049,None,3,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
audio/music_sample_n_002.wav,0,5,5,1,325.93194450001465,,,,,,,325.9088523000246,325.93194450001465,337.90698359999806,337.9403581000515,349.9075274000061,349.90744716668655,349.9075274000061,361.9155526999966,361.9155526999966,361.9081551666643,361.9155526999966,373.9571495000273,373.9571495000273,373.9571495000273,374.0051024000277,379.97178630001144,380.0253017000505,380.0253017000505,385.90894430002663,None,2,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
audio/music_sample_n_004.wav,0,6,6,2,385.92869620001875,,,,,,,385.9091904000379,385.92869620001875,397.9093253000174,397.9433896000264,409.9104869000148,409.8938475666839,409.89389720000327,421.89683790004347,421.89683790004347,421.8942020667057,421.89683790004347,433.9369856000412,433.9369856000412,433.9369856000412,433.9846472000354,439.95783090003533,440.00643100001616,440.00643100001616,445.89470190001884,None,1,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
audio/music_sample_n_003.wav,0,7,7,0,445.9175069000339,,,,,,,445.8950950000435,445.9175069000339,457.8950705000316,457.92840299999807,469.8956735000247,469.89569456671984,469.8956735000247,481.89583620004123,481.89583620004123,481.8959075667119,481.89583620004123,493.949509500002,493.949509500002,493.949509500002,493.949509500002,499.9413434000453,499.99000450002495,499.99000450002495,505.8971405000193,None,2,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
,,,,,,,,,505.8973834000062,505.9134493000456,517.897252499999,,,,,,,,,,,,,,,,,,,,,,loc108,002,True,True,2024-09-17_15h35.54.291,localizer,2024.1.5,None,2024-09-17 15h36.07.325766 +0100,
