music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,text_music.stopped,image_report.started,key_resp_rating.started,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04622360000007575,20.128674300000057,,,,,,,,,,,,,,,,,,,,,,,,,,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
,,,,,,,,,20.128694700000096,20.137648600000148,32.22225750000007,32.12679160000016,,,,,,,,,,,,,,,,,,,,,,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
audio/music_sample_p_003.wav,0,0,0,6,32.22225750000007,,,,,,,,32.16874400000006,32.22225750000007,44.128849200000104,44.22883830000001,56.1305268000001,56.129263066666695,56.1305268000001,68.13492360000009,68.13492360000009,68.1296508666667,68.13492360000009,80.32232199999999,80.32232199999999,80.32232199999999,80.32232199999999,86.21399070000007,86.3774406,86.3774406,92.13053990000003,None,4,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
audio/music_sample_n_001.wav,0,1,1,4,92.16819650000002,,,,,,,,92.13260910000008,92.16819650000002,104.14775729999997,104.17535889999999,116.1479882000001,116.13129546666666,116.13124970000013,128.15473229999998,128.15473229999998,128.14836386666664,128.15473229999998,140.23805630000015,140.23805630000015,140.17599510000014,140.17599510000014,146.1845264000001,146.2380571000001,146.2380571000001,152.1325594,None,2,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
audio/music_sample_n_004.wav,0,2,2,2,152.16756800000007,,,,,,,,152.13279899999998,152.16756800000007,164.13294310000015,164.18290509999997,176.1333032,176.13333526666682,176.1333032,188.13564810000003,188.13564810000003,188.13364656666684,188.13564810000003,200.18402519999995,200.23514369999998,200.18402519999995,200.18402519999995,206.19371109999997,206.24790870000015,206.24790870000015,212.13460510000004,None,2,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
audio/music_sample_p_001.wav,0,3,3,3,212.169979,,,,,,,,212.13483659999997,212.169979,224.13483369999994,224.18488619999994,236.15157369999997,236.12983596666666,236.13489210000012,248.13606520000008,248.14681040000005,248.13019006666676,248.13606520000008,260.1788252000001,260.1788252000001,260.1788252000001,260.1788252000001,266.18240190000006,266.22895930000004,266.22895930000004,272.1359126,None,4,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
audio/music_sample_p_004.wav,0,4,4,7,272.17148169999996,,,,,,,,272.13616780000007,272.17148169999996,284.1362362,284.18618560000004,296.1366012000001,296.1366483666668,296.1366012000001,308.1453319,308.1453319,308.1370701666667,308.1453319,320.22559060000003,320.22559060000003,320.17636919999995,320.17636919999995,326.20680300000004,326.25792820000015,326.25792820000015,332.13326900000015,None,4,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
audio/music_sample_n_002.wav,0,5,5,1,332.1760468,,,,,,,,332.1336642000001,332.1760468,344.13350149999997,344.1834827,356.13872119999996,356.1386512666668,356.13872119999996,368.15509020000013,368.15509020000013,368.13434556666675,368.1343352000001,380.18935390000024,380.18935390000024,380.18935390000024,380.18935390000024,386.16746650000005,386.27344649999986,386.27344649999986,392.1399986000001,None,2,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
audio/music_sample_n_003.wav,0,6,6,0,392.1759740000002,,,,,,,,392.1402656,392.1759740000002,404.1403522999999,404.1903253999999,416.14071550000017,416.14066866666667,416.14071550000017,428.1570677999998,428.1570677999998,428.13646116666655,428.1364582000001,440.1883348000001,440.1883348000001,440.1883348000001,440.1883348000001,446.1843546,446.2371555,446.2371555,452.1419968,None,2,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
audio/music_sample_p_002.wav,0,7,7,5,452.1775796000002,,,,,,,,452.1422391000001,452.1775796000002,464.1423356999999,464.19239659999994,476.1427953000002,476.1427550666665,476.1427953000002,488.14449349999995,488.14449349999995,488.1431755666665,488.14449349999995,500.2008486999998,500.2008486999998,500.2008486999998,500.2008486999998,506.2150187000002,506.2649258000001,506.2649258000001,512.1439559,None,2,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
,,,,,,,,,512.1441,512.1558364000002,,524.1397324,,,,,,,,,,,,,,,,,,,,,,loc105,001,True,True,2024-10-21_15h06.38.770,localizer,2024.1.5,None,2024-10-21 15h06.50.575435 +0100,
