music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,sound_noise.started,text_noise.started,text_mi.stopped,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,image_report.started,key_resp_rating.started,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.03986389999954554,27.25498929999958,,,,,,,,,,,,,,,,,,,,,,,,,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
,,,,,,,,,27.255008899999666,27.268008999999438,39.25696229999994,,,,,,,,,,,,,,,,,,,,,,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
audio/music_sample_n_001.wav,0,0,0,4,39.3145786999994,,,,,,,39.261968899999374,39.3145786999994,51.269427399999586,51.31930309999916,63.257780066666115,63.257791899999575,63.26963549999982,75.27936669999963,75.27936669999963,75.27016546666643,75.27936669999963,87.44716849999986,87.44716849999986,87.44716849999986,87.50204739999936,93.33310509999956,93.48747609999918,93.48747609999918,99.27581669999927,None,2,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
audio/music_sample_p_003.wav,0,1,1,6,99.31103169999915,,,,,,,99.27757439999914,99.31103169999915,111.25485459999982,111.32658589999937,123.25530196666593,123.25528569999915,123.25528569999915,135.25763989999996,135.25763989999996,135.25571406666612,135.25763989999996,147.3119256,147.3119256,147.3119256,147.36609059999955,153.32040319999942,153.36954809999952,153.36954809999952,159.2613335999995,None,4,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
audio/music_sample_p_001.wav,0,2,2,3,159.30108569999993,,,,,,,159.26158749999922,159.30108569999993,171.26172869999937,171.3116855999997,183.25737566666638,183.25739639999938,183.27407759999915,195.26723589999983,195.26723589999983,195.25792716666663,195.26723589999983,207.32453619999978,207.32453619999978,207.32453619999978,207.3787285999997,213.3144259999999,213.3635762999993,213.3635762999993,219.26354789999914,None,5,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
audio/music_sample_n_003.wav,0,3,3,0,219.30310739999913,,,,,,,219.26378769999974,219.30310739999913,231.259274,231.30935969999973,243.25968996666623,243.25971630000004,243.25971630000004,255.26745669999946,255.26745669999946,255.26012086666586,255.26745669999946,267.3152754999992,267.3152754999992,267.3152754999992,267.3700799999997,273.3333324999994,273.38353089999964,273.38353089999964,279.26105279999956,None,2,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
audio/music_sample_p_002.wav,0,4,4,5,279.30425809999997,,,,,,,279.2614445999998,279.30425809999997,291.26133779999964,291.3114143999992,303.26182236666614,303.26185759999953,303.26185759999953,315.2661974999992,315.2661974999992,315.26702326666623,315.2661974999992,327.3767343999998,327.30713709999964,327.30713709999964,327.3767343999998,333.3382695999999,333.3897477999999,333.3897477999999,339.26338769999984,None,4,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
audio/music_sample_n_002.wav,0,5,5,1,339.3115124999995,,,,,,,339.26389539999946,339.3115124999995,351.2683281999998,351.31834079999953,363.26409436666586,363.26408789999914,363.2807518999998,375.2682636999998,375.2682636999998,375.264517566666,375.2682636999998,387.3216262999995,387.3216262999995,387.3216262999995,387.3216262999995,393.3036489999995,393.40501829999994,393.40501829999994,399.2701313999996,None,2,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
audio/music_sample_n_004.wav,0,6,6,2,399.3050541999992,,,,,,,399.27036679999947,399.3050541999992,411.2542298999997,411.3157593999995,423.266258566666,423.2662679999994,423.2662679999994,435.2689606999993,435.2689606999993,435.2667073666664,435.2689606999993,447.33315029999994,447.33315029999994,447.33315029999994,447.33315029999994,453.32973389999916,453.38328659999934,453.38328659999934,459.25650589999987,None,3,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
audio/music_sample_p_004.wav,0,7,7,7,459.30478419999963,,,,,,,459.2572143999996,459.30478419999963,471.26824139999917,471.3181552999995,483.25646276666635,483.25649819999944,483.2731795999998,495.27663049999956,495.27663049999956,495.27363826666647,495.27663049999956,507.35046949999924,507.2985964999998,507.2985964999998,507.35046949999924,513.3379738999993,513.3379738999993,513.3379738999993,519.2581427999994,None,2,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
,,,,,,,,,519.2582688999992,519.274711,531.2588818999993,,,,,,,,,,,,,,,,,,,,,,loc190,001,True,True,2024-09-20_14h27.50.880,localizer,2024.1.5,None,2024-09-20 14h28.09.205878 +0100,
