music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,sound_noise.started,text_noise.started,text_mi.stopped,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,text_music.stopped,image_report.started,key_resp_rating.started,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04267439999966882,12.535470999999234,,,,,,,,,,,,,,,,,,,,,,,,,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
,,,,,,,,,12.535490899999786,12.539816900000005,24.536532300000545,,,,,,,,,,,,,,,,,,,,,,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
audio/music_sample_p_002.wav,0,0,0,5,24.62177689999953,,,,,,,24.571328599999106,24.62177689999953,36.539250199999515,36.62223499999891,48.53713696666661,48.53715159999956,48.553833199999644,60.537488899999516,60.537488899999516,60.53760286666717,60.537488899999516,72.72485039999992,72.72485039999992,72.72485039999992,72.72485039999992,78.56747670000004,78.75827179999942,78.75827179999942,84.53873050000038,None,5,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
audio/music_sample_n_002.wav,0,1,1,1,84.58508520000032,,,,,,,84.54109020000033,84.58508520000032,96.53874770000039,96.58877389999907,108.53920846666576,108.53926019999926,108.53926019999926,120.54601999999977,120.54601999999977,120.53978786666654,120.54601999999977,132.59699770000043,132.6489860999991,132.59699770000043,132.59699770000043,138.58255989999998,138.63134510000054,138.63134510000054,144.54063580000002,None,2,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
audio/music_sample_p_003.wav,0,2,2,6,144.58403290000024,,,,,,,144.54122189999907,144.58403290000024,156.54092769999988,156.5908546999999,168.5413557666673,168.54137660000015,168.54137660000015,180.54468540000016,180.54468540000016,180.54169646666585,180.54468540000016,192.59815089999938,192.64767819999906,192.59815089999938,192.59815089999938,198.56937370000014,198.66127039999992,198.66127039999992,204.54280189999918,None,4,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
audio/music_sample_n_004.wav,0,3,3,2,204.58815499999946,,,,,,,204.54337039999882,204.58815499999946,216.5430211999992,216.5930188000002,228.54340316666665,228.5434648999999,228.5434648999999,240.5453247000005,240.5453247000005,240.5439602666668,240.5453247000005,252.59613619999982,252.59613619999982,252.59613619999982,252.59613619999982,258.5994391000004,258.6452860999998,258.6452860999998,264.5450268000004,None,2,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
audio/music_sample_p_004.wav,0,4,4,7,264.58933380000053,,,,,,,264.54560759999913,264.58933380000053,276.5451742999994,276.59519009999894,288.5457143666665,288.54570500000045,288.54570500000045,300.54610779999894,300.54610779999894,300.54610226666614,300.54610779999894,312.59396840000045,312.59396840000045,312.59396840000045,312.59396840000045,318.5965020000003,318.64588079999885,318.64588079999885,324.5471923999994,None,5,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
audio/music_sample_p_001.wav,0,5,5,3,324.5915408000001,,,,,,,324.5478239999993,324.5915408000001,336.54760910000005,336.59764469999936,348.5479830666666,348.5479056000004,348.5479056000004,360.55626269999993,360.55626269999993,360.5484675666669,360.55626269999993,372.6091866000006,372.6579622999998,372.6091866000006,372.6091866000006,378.61014369999975,378.65962729999956,378.65962729999956,384.54937079999945,None,5,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
audio/music_sample_n_003.wav,0,6,6,0,384.5931607000002,,,,,,,384.5499815999992,384.5931607000002,396.5496387000003,396.59965340000053,408.55013196666573,408.55014479999954,408.55014479999954,420.55491660000007,420.55491660000007,420.5504400666671,420.55491660000007,432.6126583000005,432.6584581999996,432.6126583000005,432.6126583000005,438.5855634999989,438.6785134999991,438.6785134999991,444.5515338999994,None,2,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
audio/music_sample_n_001.wav,0,7,7,4,444.59568000000036,,,,,,,444.5521499000006,444.59568000000036,456.5350142999996,456.60163660000035,468.5355508666655,468.53558019999946,468.53558019999946,480.5359979999994,480.5359979999994,480.53599376666557,480.5359979999994,492.5887339000001,492.5887339000001,492.5887339000001,492.5887339000001,498.5791329999993,498.62418380000054,498.62418380000054,504.5370115000005,None,1,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
,,,,,,,,,504.53729159999966,504.55350089999956,516.5374410000004,,,,,,,,,,,,,,,,,,,,,,loc162,001,True,True,2024-09-23_14h06.34.168,localizer,2024.1.5,None,2024-09-23 14h06.53.278689 +0100,
