music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,text_music.stopped,image_report.started,key_resp_rating.started,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04295620002085343,20.080928999988828,,,,,,,,,,,,,,,,,,,,,,,,,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
,,,,,,,,,20.08095010003308,20.088337799999863,32.08428389998153,,,,,,,,,,,,,,,,,,,,,,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
audio/music_sample_n_004.wav,0,0,0,2,32.127713299996685,,,,,,,32.09223559999373,32.127713299996685,44.08455560001312,44.13454679999268,56.08508490002714,56.08506666665586,56.08508490002714,68.0868675999809,68.0868675999809,68.08565576665957,68.0868675999809,80.2600729999831,80.2600729999831,80.2600729999831,80.2600729999831,86.16200050001498,86.31802489998518,86.31802489998518,92.08655890001683,None,2,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
audio/music_sample_n_001.wav,0,1,1,4,92.11802480003098,,,,,,,92.08714710001368,92.11802480003098,104.0869543000008,104.12018780002836,116.08722950000083,116.0872535666606,116.08722950000083,128.09662939998088,128.09662939998088,128.08774696669232,128.09662939998088,140.15034809999634,140.20290779997595,140.15034809999634,140.15034809999634,146.13161440001568,146.23351879999973,146.23351879999973,152.09474470000714,None,4,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
audio/music_sample_p_001.wav,0,2,2,3,152.13022089999868,,,,,,,152.09529430000111,152.13022089999868,164.08923510002205,164.1391036999994,176.08948480000254,176.0894835666443,176.08948480000254,188.0989196000155,188.0989196000155,188.08996806666644,188.0989196000155,200.1480256000068,200.201394099975,200.1480256000068,200.1480256000068,206.12584480002988,206.22828049998498,206.22828049998498,212.0909100000281,None,5,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
audio/music_sample_p_004.wav,0,3,3,7,212.1222628999967,,,,,,,212.09133279998787,212.1222628999967,224.09111700003268,224.12450640002498,236.0917172000045,236.09169116669025,236.0917172000045,248.09697379998397,248.09697379998397,248.09215656668337,248.09697379998397,260.14453659998253,260.19864550000057,260.14453659998253,260.14453659998253,266.1367771999794,266.1871867000009,266.1871867000009,272.08159309998155,None,5,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
audio/music_sample_p_002.wav,0,4,4,5,272.11549220001325,,,,,,,272.08207800000673,272.11549220001325,284.09343529999023,284.1320988999796,296.09386219998123,296.0826665666575,296.0826087000314,308.11109389999183,308.11109389999183,308.09442146664173,308.11109389999183,320.1503568000044,320.20111379999435,320.1503568000044,320.1503568000044,326.1418305999832,326.19049210002413,326.19049210002413,332.09564610000234,None,2,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
audio/music_sample_n_002.wav,0,5,5,1,332.1323899999843,,,,,,,332.09612519998336,332.1323899999843,344.10065350000514,344.145665500022,356.1128174000187,356.09616986668357,356.0961490999907,368.09748380002566,368.09748380002566,368.0800309666704,368.08018360001734,380.1341199000017,380.1341199000017,380.1341199000017,380.1341199000017,386.1624713999918,386.2185636999784,386.2185636999784,392.09760799998185,None,2,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
audio/music_sample_p_003.wav,0,6,6,6,392.130456999992,,,,,,,392.0980803000275,392.130456999992,404.0811865000287,404.1312037000316,416.08166139997775,416.0817190666605,416.08166139997775,428.08657179999864,428.08657179999864,428.0821926666579,428.08657179999864,440.1439543000306,440.1973607999971,440.1439543000306,440.1439543000306,446.1261575000244,446.23231069999747,446.23231069999747,452.08321449998766,None,4,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
audio/music_sample_n_003.wav,0,7,7,0,452.11260430002585,,,,,,,452.08368390001124,452.11260430002585,464.08349480002653,464.11681999999564,476.08916139998473,476.0891041666657,476.08916139998473,488.1073187000002,488.1073187000002,488.08434716664874,488.0895580999786,500.13213990000077,500.18575010000495,500.13213990000077,500.13213990000077,506.1429917999776,506.1925796000287,506.1925796000287,512.0854377999785,None,1,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
,,,,,,,,,512.0856696999981,512.101962900022,524.0858183000237,,,,,,,,,,,,,,,,,,,,,,loc123,001,True,True,2024-09-17_16h48.48.305,localizer,2024.1.5,None,2024-09-17 16h49.03.299031 +0100,
