music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,sound_noise.started,text_noise.started,text_mi.stopped,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,text_music.stopped,image_report.started,key_resp_rating.started,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04488329999981033,18.204750099999956,,,,,,,,,,,,,,,,,,,,,,,,,,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
,,,,,,,,,18.204769899999974,18.210314499999868,30.271530099999836,30.202121799999986,,,,,,,,,,,,,,,,,,,,,,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
audio/music_sample_p_003.wav,0,0,0,6,30.271530099999836,,,,,,,,30.219729499999858,30.271530099999836,42.21645079999985,42.283074499999884,54.205625566666654,54.20569099999989,54.22228619999987,66.20466679999981,66.20466679999981,66.20606626666655,66.20466679999981,78.40979399999992,78.40979399999992,78.40979399999992,78.40979399999992,84.25337149999996,84.4665938999999,84.4665938999999,90.20659149999983,None,4,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
audio/music_sample_n_004.wav,0,1,1,2,90.2424411999998,,,,,,,,90.20693659999984,90.2424411999998,102.22404799999981,102.2517656,114.20694916666663,114.20699219999983,114.22360819999994,126.2267852,126.2267852,126.21934406666652,126.2267852,138.2837588,138.3407362999999,138.2837588,138.2837588,144.2745883,144.3282494,144.3282494,150.2202648,None,2,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
audio/music_sample_n_003.wav,0,2,2,0,150.2619100999998,,,,,,,,150.22067459999994,150.2619100999998,162.20390989999987,162.27058599999987,174.20891496666653,174.20907549999993,174.20907549999993,186.21516199999996,186.21516199999996,186.20940616666647,186.21516199999996,198.26175839999996,198.31529239999986,198.26175839999996,198.26175839999996,204.27293889999987,204.32632649999982,204.32632649999982,210.21080269999993,None,2,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
audio/music_sample_p_004.wav,0,3,3,7,210.2518063,,,,,,,,210.21129559999986,210.2518063,222.21111989999986,222.25592919999985,234.20642456666658,234.20642859999975,234.22308670000007,246.2116625000001,246.2116625000001,246.20680626666675,246.2116625000001,258.2621815,258.31347630000005,258.2621815,258.2621815,264.2599095999997,264.3100085999997,264.3100085999997,270.20780839999975,None,4,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
audio/music_sample_n_002.wav,0,4,4,1,270.25423909999995,,,,,,,,270.20826220000004,270.25423909999995,282.2127558999998,282.2579367000001,294.2135635666664,294.21353780000004,294.21353780000004,306.22553319999975,306.22553319999975,306.20958316666656,306.2088575,318.26730599999996,318.26730599999996,318.26730599999996,318.26730599999996,324.28697149999994,324.3375752999998,324.3375752999998,330.20967259999975,None,4,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
audio/music_sample_n_001.wav,0,5,5,4,330.24694939999995,,,,,,,,330.2099446,330.24694939999995,342.2101132,342.2601164,354.2105200666665,354.21049990000006,354.21049990000006,366.2148835999999,366.2148835999999,366.21616776666633,366.2148835999999,378.3338237999999,378.3338237999999,378.26279469999986,378.26279469999986,384.24736830000006,384.2980993999997,384.2980993999997,390.2119446999998,None,2,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
audio/music_sample_p_001.wav,0,6,6,3,390.25469339999995,,,,,,,,390.2124265,390.25469339999995,402.2121993999997,402.26230629999986,414.2126346666664,414.21261549999986,414.21261549999986,426.2160510000001,426.2160510000001,426.2129791666666,426.2160510000001,438.2716385000001,438.32738300000005,438.2716385000001,438.2716385000001,444.2397217,444.3603452,444.3603452,450.2139030999999,None,4,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
audio/music_sample_p_002.wav,0,7,7,5,450.2549607999997,,,,,,,,450.21426469999983,450.2549607999997,462.2142977000001,462.26423,474.2194267666664,474.2193571,474.2193571,486.236052,486.236052,486.21507826666675,486.2150604000001,498.2713443,498.2713443,498.2713443,498.2713443,504.2836746999999,504.33374679999974,504.33374679999974,510.21605810000005,None,4,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
,,,,,,,,,510.2162965,510.23263470000006,,522.2210846,,,,,,,,,,,,,,,,,,,,,,loc153,001,True,True,2024-10-23_14h59.29.310,localizer,2024.1.5,None,2024-10-23 14h59.48.590724 +0100,
